news_keyword,nearest_youtube_keyword,similarity,relation_type,news_core_score,youtube_core_score
주,주다,0.756223201751709,semantic_near,0.898922130109589,0.70747168742
생각,마음,0.7512744069099426,semantic_near,1.207699540017123,1.7532605236307697
나오다,들어가다,0.7485674619674683,semantic_near,1.019456850808904,0.7672215739507692
뒤,앞,0.7299536466598511,semantic_near,1.0205615423958905,0.7847992038153847
대표,이름,0.7107511162757874,semantic_near,1.9892669369219176,0.687202330883077
정,전,0.6897972822189331,semantic_near,1.1263521783651462,1.036253429016923
김,전,0.6792306900024414,semantic_near,1.155876212852397,1.036253429016923
사람,인물,0.6748347282409668,semantic_near,1.693476362685959,1.0783833011384618
이,조금,0.6698789000511169,semantic_near,1.493459862054452,0.6986526815630769
계획,내용,0.6556068658828735,semantic_near,0.9392486968619862,1.1141174280123078
연구,교수,0.6554992198944092,semantic_near,2.059550925862671,1.1477865482784615
관련,내용,0.6532172560691833,semantic_near,1.0631478587017125,1.1141174280123078
장,글,0.6509078741073608,semantic_near,1.0492949282881954,1.6234637054584615
나타나다,보이다,0.6490796804428101,semantic_near,0.9854844500715751,1.0463322541953846
일,글,0.6428310871124268,semantic_near,0.926797317204452,1.6234637054584615
의원,교수,0.6392933130264282,semantic_near,0.9354920136208904,1.1477865482784615
같다,다르다,0.6384849548339844,semantic_near,1.5346448767273977,0.8775689873907692
정보,소개,0.6361320614814758,semantic_near,0.9238971892023974,0.9040176012753848
기준,주제,0.6353347301483154,semantic_near,1.197525018260959,0.7485564445338462
결과,자체,0.633903443813324,semantic_near,1.4227640550321918,0.6693413593292308
지역,인물,0.6265342235565186,semantic_near,1.5610717470356166,1.0783833011384618
과정,부분,0.6241797208786011,semantic_near,1.1201760486445205,0.9691219881476923
연구진,교수,0.6240536570549011,semantic_near,1.5593276076808218,1.1477865482784615
후보,인물,0.6221120953559875,semantic_near,0.9768959716952056,1.0783833011384618
미래,꿈,0.612970769405365,semantic_near,0.9690429444674656,0.9980752593769232
관계,소개,0.606309175491333,semantic_near,1.0096445952907531,0.9040176012753848
발생,배경,0.599132776260376,semantic_near,0.9475465787928082,0.6986526815630769
따르다,들어가다,0.5965877771377563,semantic_near,1.106781137279452,0.7672215739507692
필요,중요,0.5912578701972961,semantic_near,1.0252233155650683,0.7672215739538463
이날,이번,0.5888938307762146,semantic_near,1.1303719490910955,0.8135924405353847
통하다,좋다,0.5879440307617188,semantic_near,1.0152733790763695,2.740837687095385
