rank,token,pos,core_score,tfidf_avg_seen,total_count,doc_freq,doc_freq_ratio
1,대통령,NNG,2.645729065822945,14.046416131278182,291,55,0.18835616438356165
2,우주,NNG,2.287774929246575,27.8345949725,193,24,0.0821917808219178
3,연구,NNG,2.059550925862671,11.136830932442592,225,54,0.18493150684931506
4,대표,NNG,1.9892669369219178,7.543713578976623,250,77,0.2636986301369863
5,달,NNG,1.8316976985945206,16.714241499675,168,32,0.1095890410958904
6,선거,NNG,1.7542278298691778,11.135533180908695,181,46,0.15753424657534246
7,사람,NNG,1.693476362685959,6.3396807423628205,214,78,0.2671232876712329
8,데이터,NNG,1.6453268488712327,16.014514662346667,148,30,0.10273972602739725
9,센터,NNG,1.5937096641294521,23.26816109629,128,20,0.0684931506849315
10,지역,NNG,1.5610717470356166,7.997069300603509,174,57,0.1952054794520548
11,연구진,NNG,1.5593276076808218,16.863839312696296,136,27,0.09246575342465753
12,별,NNG,1.5564698498509415,75.7481993594125,128,6,0.02054794520547945
13,같다,VA,1.5346448767273975,4.481163040044001,217,100,0.3424657534246575
14,대출,NNG,1.531455380374315,22.359248553465,123,20,0.0684931506849315
15,미국,NNP,1.5314235146921231,5.139950187242528,203,87,0.2979452054794521
16,이,NNP,1.4934598620544521,10.9022569929975,147,40,0.136986301369863
17,도서관,NNG,1.4754037118376713,71.80298064276667,91,6,0.02054794520547945
18,결과,NNG,1.4227640550321918,3.956639086375238,206,105,0.3595890410958904
19,사회,NNG,1.373382733969178,6.076178156348485,162,66,0.22602739726027396
20,쓰다,VV,1.3556248477037671,6.283213579833333,157,63,0.21575342465753425
21,금융,NNG,1.3365248994315069,7.80530541268,142,50,0.17123287671232876
22,한국,NNP,1.3272661522236302,7.177068823135186,145,54,0.18493150684931506
23,크다,VA,1.3251241667376048,3.831052046409709,192,101,0.3458904109589041
24,만들다,VV,1.3202074859020547,5.072376130044737,165,76,0.2602739726027397
25,정부,NNG,1.3185606705928081,6.875352068091071,146,56,0.1917808219178082
26,문제,NNG,1.301853191506507,4.580013637589157,169,83,0.2842465753424658
27,기업,NNG,1.2694719890849315,8.620600484018604,128,43,0.14726027397260275
28,가입,NNG,1.2612186675164383,36.82758509148,86,10,0.03424657534246575
29,기후,NNG,1.2593469947681506,13.133190088296429,111,28,0.0958904109589041
30,청년,NNG,1.2473299759650687,15.835667520947828,104,23,0.07876712328767123
31,인간,NNG,1.219965748005822,10.477352894638235,114,34,0.11643835616438356
32,책,NNG,1.2102288365722602,11.043338133721875,111,32,0.1095890410958904
33,생각,NNG,1.2076995400171233,5.687875252983871,139,62,0.21232876712328766
34,기준,NNG,1.197525018260959,4.725368990975675,148,74,0.2534246575342466
35,중국,NNP,1.189652337407192,15.789931023768183,98,22,0.07534246575342465
36,김,NNP,1.155876212852397,10.887608198480644,105,31,0.10616438356164383
37,단백질,NNG,1.150182766833904,47.979052559357136,73,7,0.023972602739726026
38,이상,NNG,1.1350339071160958,4.14287376097375,145,80,0.273972602739726
39,세계,NNG,1.130886726355137,4.856160648466177,135,68,0.2328767123287671
40,이날,NNG,1.1303719490910957,3.4744064119431575,156,95,0.3253424657534247
41,기술,NNG,1.1294576614917808,6.5960327431120005,120,50,0.17123287671232876
42,정,NNP,1.1263521783651462,15.661658861077273,96,21,0.07191780821917808
43,과정,NNG,1.1201760486445205,4.303834292160526,140,76,0.2602739726027397
44,서울,NNP,1.1143731690924656,3.6155218375,150,90,0.3082191780821918
45,투표,NNG,1.1133466669342464,13.003889069791999,95,25,0.08561643835616438
46,가능,NNG,1.1068388665934932,3.438265415375532,152,94,0.3219178082191781
47,따르다,VV,1.106781137279452,3.1684322753490197,158,102,0.3493150684931507
48,위험,NNG,1.0915483008489724,9.374473642585293,102,34,0.11643835616438356
49,지구,NNG,1.078019252830822,10.854538683675862,96,29,0.09931506849315068
50,관련,NNG,1.0631478587017125,3.3025444121372343,146,94,0.3219178082191781
51,많다,VA,1.0561541480613015,3.5447932325735634,140,87,0.2979452054794521
52,장,NNG,1.0492949282881954,6.808758201336734,117,45,0.1541095890410959
53,민주당,NNP,1.0434394991246574,13.247144945408694,87,23,0.07876712328767123
54,수사,NNG,1.0430300353386985,12.182590812756,89,25,0.08561643835616438
55,시장,NNG,1.0414531080770548,5.737817123745283,113,53,0.1815068493150685
56,높다,VA,1.0382782598979452,5.05295419817,118,60,0.2054794520547945
57,교육,NNG,1.0362822740356163,16.810801334355556,81,18,0.06164383561643835
58,신용,NNG,1.033421110333904,15.087948210874998,83,20,0.0684931506849315
59,탄소,NNG,1.0304245180890412,20.0589306188,77,15,0.05136986301369863
60,필요,NNG,1.0252233155650685,3.3262800905,138,90,0.3082191780821918
61,코스피,NNP,1.0234886657136983,16.60326057713333,80,18,0.06164383561643835
62,뒤,NNG,1.0205615423958903,2.9505343601940592,145,101,0.3458904109589041
63,여성,NNG,1.0201979552058218,14.185609662861904,83,21,0.07191780821917808
