rank,youtube_keyword,nearest_news_keyword,similarity,quantile_relation_type,youtube_core_score,news_core_score
1,힘들다,청년,0.3068568110466003,relative_semantic_gap,0.6872135651738461,1.247329975965069
2,엄마,대표,0.3960256278514862,relative_semantic_gap,0.6905608072384616,1.9892669369219176
3,소설집,생각,0.4179456233978271,relative_semantic_gap,0.8134403754723077,1.207699540017123
4,운동,교육,0.4334452748298645,relative_semantic_gap,1.0699649493400003,1.0362822740356163
5,행복,대통령,0.4462438225746155,relative_semantic_gap,1.998740526252308,2.645729065822945
6,노동,국민,0.4498394727706909,relative_semantic_gap,0.8483639704707693,0.976436332775
7,아이,대표,0.4500086605548858,relative_semantic_gap,0.7655909416215385,1.9892669369219176
8,편지,관계,0.4503705501556396,relative_semantic_gap,0.7552693760046154,1.0096445952907531
9,목소리,이,0.4588349461555481,relative_semantic_gap,0.7318543664492309,1.493459862054452
10,마지막,과정,0.4598521292209625,relative_semantic_gap,0.8180838836230769,1.1201760486445205
11,실리다,같다,0.4601621925830841,relative_semantic_gap,0.7268414911153845,1.5346448767273977
12,모르다,나오다,0.4667245745658874,relative_semantic_gap,0.9788269474753848,1.019456850808904
13,소설,청년,0.4670877456665039,relative_semantic_gap,2.884038457929231,1.247329975965069
14,재밌다,통하다,0.4772824048995971,relative_semantic_gap,2.2561614999615385,1.0152733790763695
15,위로,생각,0.4795142412185669,relative_semantic_gap,0.7177415077692308,1.207699540017123
16,일제,사용,0.4801355004310608,relative_semantic_gap,0.8182084906723077,0.9318025707311643
17,속,같다,0.4822438061237335,relative_semantic_gap,0.8843396092769231,1.5346448767273977
18,집,서울,0.4829041361808777,relative_semantic_gap,0.9019530592892308,1.1143731690924656
19,지금,나타나다,0.4834036231040954,relative_semantic_gap,0.6872135651723077,0.9854844500715751
20,단편,생각,0.4844807982444763,relative_semantic_gap,1.1651222551153846,1.207699540017123
21,먹다,따르다,0.4917426109313965,relative_semantic_gap,1.0411976700646155,1.106781137279452
22,시리즈,연구,0.4930942356586456,relative_semantic_bridge,0.7318543664492309,2.059550925862671
23,사다,사용,0.4950804710388183,relative_semantic_bridge,0.7253920965738462,0.9318025707311643
24,노동자,차별,0.4987810850143432,relative_semantic_bridge,0.88114760534,0.9353907801797944
25,기억,생각,0.5048359036445618,relative_semantic_bridge,0.8612898093246153,1.207699540017123
