segment_id,video_id,channel,upload_date,book_title,author,token,pos,count
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,물푸레,NNG,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,물푸레나무,NNG,3
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,미래,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,바꾸다,VV,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,바라다,VV,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,바람,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,바래다,VV,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,박다,VV,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,방식,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,벌다,VV,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,변하다,VV,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,보다,VV,4
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,보이다,VV,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,붙다,VV,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,붙이다,VV,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,빛,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,사람,NNG,8
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,사랑,NNG,12
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,산책,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,살다,VV,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,상,NNG,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,새기다,VV,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,생각,NNG,4
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,선배,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,선생,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,설명,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,성,NNG,4
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,성화,NNG,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,세상,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,소설,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,속,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,순애,NNP,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,스토리,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,쓰다,VV,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,아빠,NNG,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,알다,VV,3
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,애인,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,양귀자,NNP,3
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,어머니,NNG,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,엄마,NNG,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,엄청나다,VA,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,없다,VA,4
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,연인,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,영상,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,예쁘다,VA,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,오다,VV,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,오인,NNG,3
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,오인희,NNP,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,요즘,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,우,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,운동,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,원하다,VV,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,이때,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,이름,NNG,5
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,이유,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,이틀,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,인물,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,인센스,NNG,3
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,읽다,VV,10
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,있다,VA,4
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,있다,VV,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,잉크,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,자다,VV,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,자체,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,작가,NNG,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,잠시,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,재밌다,VA,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,적다,VV,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,전,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,전체,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,전하다,VV,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,정도,NNG,3
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,정신,NNG,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,정의,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,좋다,VA,9
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,좋아하다,VV,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,주다,VV,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,주변,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,죽다,VV,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,줄거리,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,중간,NNG,3
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,진심,NNG,3
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,진행,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,창조,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,찾다,VV,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,채널,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,책,NNG,5
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,챕터,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,천 년의 사랑,NNP,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,추천,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,친구,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,카톡,NNP,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,커플,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,클릭,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,트다,VV,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,파트,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,페이지,NNG,2
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,편지,NNG,11
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,푸르르다,VA,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,하다,VV,17
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,향내,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,화상,NNG,4
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,효율,NNG,1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,쩜,2026-05-24,천 년의 사랑,양귀자,희,NNG,3
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,가다,VV,5
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,가져가다,VV,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,가치,NNG,2
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,간다,NNP,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,강연장,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,같다,VA,6
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,겪다,VV,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,결말,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,경차,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,고속도로,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,공,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,공간,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,굿,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,글,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,끄트머리,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,나오다,VV,2
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,넓다,VA,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,넘어가다,VV,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,네일,NNP,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,느끼다,VV,3
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,느낌,NNG,7
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,늘리다,VV,2
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,다루다,VV,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,다양,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,다음,NNG,3
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,단편,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,달리다,VV,3
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,대하다,VV,2
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,던지다,VV,2
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,독자,NNG,2
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,되다,VV,2
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,들다,VV,2
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,등장,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,때,NNG,2
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,떨어지다,VV,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,릴레이,NNG,2
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,마무리,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,말,NNG,3
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,말다,VV,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,문학,NNG,2
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,미치다,VV,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,밀다,VV,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,벌어지다,VV,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,보다,VV,3
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,보라,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,보라,NNP,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,부름,NNG,3
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,부여,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,사건,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,사람,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,사바,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,상징,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,생각,NNG,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,생기다,VV,1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,쩜,2026-05-24,이렇게 된 이상 포항으로 간다,정보라; 최의택,소설,NNG,2
